step,type,amount,isFraud
9,CASH_OUT,257852.7,0
10,CASH_OUT,215404.79,0
10,CASH_OUT,55289.01,0
10,CASH_OUT,139784.63,0
11,CASH_OUT,41118.0,0
12,CASH_OUT,17304.45,0
13,CASH_OUT,173029.3,0
13,CASH_OUT,50938.55,0
14,CASH_OUT,118493.75,0
14,CASH_OUT,31281.3,0
14,CASH_OUT,255790.53,0
14,CASH_OUT,416116.78,0
14,CASH_OUT,1807.96,0
14,CASH_OUT,80411.2,0
14,CASH_OUT,254835.74,0
14,CASH_OUT,113522.58,0
15,CASH_OUT,239810.63,0
15,CASH_OUT,63598.51,0
15,CASH_OUT,17177.42,0
15,CASH_OUT,257475.41,0
16,CASH_OUT,78094.93,0
16,CASH_OUT,286691.99,0
16,CASH_OUT,3793.97,0
16,CASH_OUT,39101.07,0
16,CASH_OUT,91302.67,0
16,CASH_OUT,157196.29,0
16,CASH_OUT,51577.9,0
16,CASH_OUT,125431.79,0
16,CASH_OUT,9716.33,0
16,CASH_OUT,153561.56,0
16,CASH_OUT,126649.84,0
17,CASH_OUT,250960.39,0
17,CASH_OUT,60005.2,0
17,CASH_OUT,217885.17,0
17,CASH_OUT,323044.08,0
17,CASH_OUT,440590.8,0
17,CASH_OUT,211958.37,0
17,CASH_OUT,157118.26,0
17,CASH_OUT,17173.51,0
17,CASH_OUT,201665.07,0
17,CASH_OUT,377900.36,0
17,CASH_OUT,59437.46,0
17,TRANSFER,78211.23,0
17,CASH_OUT,134864.81,0
18,CASH_OUT,305377.45,0
18,CASH_OUT,103504.0,0
18,CASH_OUT,441684.51,0
18,CASH_OUT,91883.77,0
18,CASH_OUT,254281.65,0
18,CASH_OUT,79426.55,0
18,CASH_OUT,50271.53,0
18,CASH_OUT,51872.69,0
18,CASH_OUT,127048.06,0
18,CASH_OUT,64697.55,0
18,CASH_OUT,216444.95,0
18,CASH_OUT,74389.37,0
18,CASH_OUT,4577.75,0
18,CASH_OUT,52601.15,0
18,CASH_OUT,272083.73,0
18,CASH_OUT,72943.59,0
18,CASH_OUT,356059.55,0
18,CASH_OUT,44492.79,0
19,CASH_OUT,43709.34,0
19,CASH_OUT,46097.81,0
19,CASH_OUT,395761.81,0
19,CASH_OUT,92178.6,0
19,CASH_OUT,32338.63,0
19,CASH_OUT,224600.69,0
19,CASH_OUT,65732.63,0
19,CASH_OUT,143716.35,0
19,CASH_OUT,2716.06,0
19,CASH_OUT,126080.58,0
19,CASH_OUT,367050.52,0
19,CASH_OUT,13286.28,0
19,CASH_OUT,143660.11,1
19,CASH_OUT,34855.74,0
19,CASH_OUT,26555.56,0
19,CASH_OUT,61128.99,0
19,CASH_OUT,21255.46,0
19,CASH_OUT,223962.88,0
19,CASH_OUT,42210.76,0
19,CASH_OUT,10009.86,0
19,CASH_OUT,73238.52,0
19,CASH_OUT,62890.42,0
19,CASH_OUT,127046.9,0
19,CASH_OUT,55622.57,0
19,CASH_OUT,324772.55,0
19,CASH_OUT,17031.72,0
19,CASH_OUT,19719.34,0
